,method,CCN SEARCH,n,Method_type ,method_tool
1048,Maxent software,Connectivity,1,maxent,
1049,Maxent software,Networks,1,maxent,
1037,MaxEnt v.3.4.4 (Wallace package),Connectivity,1,maxent,
1038,MaxEnt v.3.4.4 (Wallace package),Corridors,1,maxent,
1039,MaxEnt v.3.4.4 (Wallace package),Networks,1,maxent,
1050,Maxent v3.3.3,Corridors,1,maxent,
1051,Maxent ver. 3.4.1,Connectivity,1,maxent,
1040,MaxEnt version 3.3.3k,Connectivity,1,maxent,
1041,MaxEnt version 3.4.4,Connectivity,1,maxent,
1042,MaxEnt version 3.4.4,Corridors,1,maxent,
1043,MaxEnt3.4.4 software,Connectivity,1,maxent,
1131,NDVI entropy,Corridors,1,maxent,
129,R (prioritizr package),Connectivity,2,maxent,
876,LIM-MCMC method,Networks,1,mcmc,
975,MCMC analysis,Corridors,1,mcmc,
1072,Minimum Convex Polygon (MCP),Corridors,1,minimum convex polygon,
1073,Minimum Convex Polygon (MCP) method,Networks,1,minimum convex polygon,
1074,Minimum Convex Polygons,Corridors,1,minimum convex polygon,
1079,Minimum-convex-polygon (MCP),Corridors,1,minimum convex polygon,
1512,R 4.2.1 (MuMIn package),Connectivity,1,model averaging,
1526,R v. 4.2.1 (MuMln package),Connectivity,1,model averaging,
1527,R v. 4.2.1 (MuMln package),Networks,1,model averaging,
1841,ArcGIS Pro (heat maps of COA densities),Networks,1,moving window,
210,ArcGIS (hotspot analysis tool),Corridors,1,moving window,
343,Biodiversity hot spots,Connectivity,1,moving window,
727,Getis-Ord Gi* hotspot analysis,Corridors,1,moving window,
798,Heat maps,Connectivity,1,moving window,
799,Heat maps,Corridors,1,moving window,
1097,"Moving window analysis,",Connectivity,1,moving window,
1296,QGIS (supervised and unsupervised classification),Connectivity,1,moving window,
768,Guidos Toolbox,Connectivity,1,"multiple options - least cost path, graph theory ",
769,Guidos Toolbox,Corridors,1,"multiple options - least cost path, graph theory ",
770,Guidos Toolbox,Networks,1,"multiple options - least cost path, graph theory ",
771,Guidos Toolbox 2.8,Connectivity,1,"multiple options - least cost path, graph theory ",
772,Guidos Toolbox 2.8,Networks,1,"multiple options - least cost path, graph theory ",
773,Guidos Toolbox 2.9,Corridors,1,"multiple options - least cost path, graph theory ",
774,Guidos Toolbox 3.0 analysis software,Connectivity,1,"multiple options - least cost path, graph theory ",
775,Guidos Toolbox 3.0 analysis software,Corridors,1,"multiple options - least cost path, graph theory ",
776,Guidos Toolbox software,Corridors,1,"multiple options - least cost path, graph theory ",
777,Guidos Toolbox software,Networks,1,"multiple options - least cost path, graph theory ",
778,GuidosToolBox,Corridors,1,"multiple options - least cost path, graph theory ",
779,GuidosToolbox,Connectivity,1,"multiple options - least cost path, graph theory ",
780,GuidosToolbox software,Connectivity,1,"multiple options - least cost path, graph theory ",
781,GuidosToolbox software,Corridors,1,"multiple options - least cost path, graph theory ",
306,Artificial neural networks (ANN),Connectivity,1,neural networks,
307,Artificial neural networks (ANNs),Networks,1,neural networks,
308,Artificial neuronal networks,Networks,1,neural networks,
378,Cellular automata–artificial neural networks (CA-ANN),Networks,1,neural networks,
409,Classical U-Net neural network,Connectivity,1,neural networks,
410,Classical U-Net neural network,Networks,1,neural networks,
446,Convolution Neural Networks (CNNs),Networks,1,neural networks,
76,Convolutional neural network (CNN),Networks,2,neural networks,
448,Convolutional Neural Network (CNN),Networks,1,neural networks,
77,Convolutional neural networks (CNN),Networks,2,neural networks,
78,Convolutional neural networks (CNNs),Networks,2,neural networks,
449,Convolutional Neural Networks (CNNs),Connectivity,1,neural networks,
450,Convolutional Neural Networks (CNNs),Networks,1,neural networks,
451,Convolutional neural networks (CNNS),Networks,1,neural networks,
493,Deep neural network analysis,Networks,1,neural networks,
80,Deep neural networks (DNNs),Networks,2,neural networks,
615,Feedforward neural network (FFNN),Networks,1,neural networks,
992,"Machine-learning algorithms (artificial neural network, XGboost,  random forest and MaxEnt)",Connectivity,1,neural networks,
993,"Machine-learning algorithms (artificial neural network, XGboost,  random forest and MaxEnt)",Corridors,1,neural networks,
994,"Machine-learning algorithms (artificial neural network, XGboost,  random forest and MaxEnt)",Networks,1,neural networks,
1824,multi-branch Convolutional Neural Network (CNN),Networks,1,neural networks,
114,Neural network analysis,Networks,2,neural networks,
1165,Neural Network analysis,Networks,1,neural networks,
1167,Neural network analysis,Connectivity,1,neural networks,
1168,Neural networks,Networks,1,neural networks,
1855, Statistica 13.3 software (Bartlett test),Networks,1,nonparametric test,
1856, Statistica 13.3 software (Fisher exact test),Networks,1,nonparametric test,
154,ARLEQUIN 3.5,Corridors,1,nonparametric test,
299,Arlequin 3.5,Connectivity,1,nonparametric test,
155,ARLEQUIN v 3.5.2,Connectivity,1,nonparametric test,
156,ARLEQUIN v 3.5.2,Networks,1,nonparametric test,
300,Arlequin v. 3.11 program,Connectivity,1,nonparametric test,
301,Arlequin v.3.5.1.2,Connectivity,1,nonparametric test,
157,ARLEQUIN v3.5,Corridors,1,nonparametric test,
302,Arlequin v3.5.1.3,Corridors,1,nonparametric test,
70,Arlequin version 3.5.2.2,Connectivity,2,nonparametric test,
303,"Arlequin, vers. 3.11",Connectivity,1,nonparametric test,
323,Bartlett's test,Networks,1,nonparametric test,
314,BOTTLENECK 1.2.02,Corridors,1,nonparametric test,
355,Bottleneck V.1.2.02,Connectivity,1,nonparametric test,
356,Bottleneck V.1.2.02,Networks,1,nonparametric test,
315,BOTTLENECK v1.2.02 software,Connectivity,1,nonparametric test,
316,BOTTLENECK vl.2.02,Corridors,1,nonparametric test,
868,Kruskal–Wallis non-parametric test (run in R v.3.2.1),Corridors,1,nonparametric test,
869,Kruskal–Wallis test,Connectivity,1,nonparametric test,
870,Kruskal–Wallis test,Corridors,1,nonparametric test,
871,Kruskal–Wallis test (ANOVA),Corridors,1,nonparametric test,
1191,One-tailed permutation test,Connectivity,1,nonparametric test,
1336,R (Hierfstat package),Connectivity,1,nonparametric test,
1412,R (hierfstat package),Connectivity,1,nonparametric test,
1413,R (hierfstat package),Corridors,1,nonparametric test,
1414,R (hierstat package),Connectivity,1,nonparametric test,
1437,R (non-parametric Mann-Whitney U tests),Corridors,1,nonparametric test,
1783,Wilcoxon test,Corridors,1,nonparametric test,
52,Omniscape,Connectivity,3,Omniscape,
115,Omniscape,Networks,2,Omniscape,
1186,Omniscape,Corridors,1,Omniscape,
1187,Omniscape in Julia v1.5.4,Connectivity,1,Omniscape,
186,Analysis of principal components (DAPC),Connectivity,1,Princial component analysis,
500,Discriminant analysis of principal components (DAPC),Connectivity,1,Princial component analysis,
501,Discriminant analysis of principal components (DAPC),Corridors,1,Princial component analysis,
1128,Multivariate principal component analysis,Connectivity,1,Princial component analysis,
1129,Multivariate principal component analysis,Corridors,1,Princial component analysis,
1130,Multivariate principal component analysis,Networks,1,Princial component analysis,
1826,multivariate principal component analysis (PCA),Networks,1,Princial component analysis,
36,Principal component analysis (PCA),Connectivity,4,Princial component analysis,
53,Principal Component Analysis (PCA),Connectivity,3,Princial component analysis,
118,Principal Component Analysis (PCA),Networks,2,Princial component analysis,
1252,Principal Component Analysis (PCA),Corridors,1,Princial component analysis,
1256,Principal component analysis (PCA),Corridors,1,Princial component analysis,
1257,Principal component analysis (PCA),Networks,1,Princial component analysis,
119,Principal components analysis (PCA),Connectivity,2,Princial component analysis,
1253,Principal Components Analysis (PCA),Connectivity,1,Princial component analysis,
1254,Principal Components Analysis (PCA),Corridors,1,Princial component analysis,
1255,Principal Components Analysis (PCA),Networks,1,Princial component analysis,
1258,Principal components analysis (PCA),Corridors,1,Princial component analysis,
1832,principal components analysis of Euclidean  distances,Connectivity,1,Princial component analysis,
54,Principal coordinate analysis (PCoA),Connectivity,3,Princial component analysis,
1259,Principal coordinate analysis (PCoA),Networks,1,Princial component analysis,
1260,Principal coordinates analyses (PCoA),Connectivity,1,Princial component analysis,
1261,Principal coordinates analyses (PCoA),Corridors,1,Princial component analysis,
1262,Principal coordinates analysis (PCoA),Connectivity,1,Princial component analysis,
1263,Principle component analysis (PCA),Connectivity,1,Princial component analysis,
1490,R 4.0.1 (Principal component analysis (PCA)),Connectivity,1,Princial component analysis,
1491,R 4.0.1 (Principal component analysis (PCA)),Corridors,1,Princial component analysis,
1843,Canoco 5 software (Redundancy Analysis),Networks,1,regression,
931,Linear mixed effect regression,Networks,1,regression,
932,Linear regression analysis,Connectivity,1,regression,
1123,Multivariate adaptive regression splines  (MARS),Connectivity,1,regression,
1124,Multivariate analyses,Corridors,1,regression,
1125,Multivariate analyses of BMI community composition,Corridors,1,regression,
112,Multivariate analysis,Networks,2,regression,
1126,Multivariate analysis,Connectivity,1,regression,
1127,Multivariate analysis,Corridors,1,regression,
1210,Partial Least Squares Regression analysis,Connectivity,1,regression,
1211,Partial Least Squares Regression analysis,Networks,1,regression,
1830,"plm library of R software, version 4.1",Connectivity,1,regression,
1831,"plm library of R software, version 4.1",Networks,1,regression,
1379,R (binom.test function),Corridors,1,regression,
1383,R (boot package),Networks,1,regression,
1411,R (glmmTMB package),Networks,1,regression,
125,R (Ime4 package),Corridors,2,regression,
1337,R (Ime4 package),Connectivity,1,regression,
1338,R (Ime4 package),Networks,1,regression,
1415,R (ime4 package),Networks,1,regression,
1339,R (ImerTest package),Networks,1,regression,
1416,R (imerTest package),Connectivity,1,regression,
1417,R (imerTest package),Corridors,1,regression,
1418,R (imerTest package),Networks,1,regression,
1346,R (MUMIn package),Networks,1,regression,
1351,R (MuMin package),Connectivity,1,regression,
1353,R (NLME package),Corridors,1,regression,
1436,R (nlme package),Corridors,1,regression,
1470,R (stats package),Connectivity,1,regression,
1471,R (stats package),Networks,1,regression,
1472,R (stats packages),Networks,1,regression,
1497,R 4.1.1 (LME4 package),Corridors,1,regression,
1521,R software v4.3.3 (stats package),Networks,1,regression,
1535,R version 4.1.2 (stats package),Connectivity,1,regression,
1566,Regression analyses,Corridors,1,regression,
1624,Segmented  regression analysis,Corridors,1,regression,
278,ArcGis 10.5 (SDMtoolbox v1.1c),Corridors,1,SDM,
788,Habitat Suitability Modelling,Networks,1,SDM,
207,ArcGIS (buffer tool),Corridors,1,spatial overlay,
201,ArcGIS (Concave hull tool),Connectivity,1,spatial overlay,
216,ArcGIS (vector processing tool),Connectivity,1,spatial overlay,
284,ArcMap (weighted overlay tool),Corridors,1,spatial overlay,
454,Core-buffer-corridor paradigm,Corridors,1,spatial overlay,
538,Ecological buffers,Connectivity,1,spatial overlay,
578,Effective corridor width,Corridors,1,spatial overlay,
525,ESRI  ArcInfo’s buffer tool,Corridors,1,spatial overlay,
679,Gap analysis,Corridors,1,spatial overlay,
680,Gap analysis,Networks,1,spatial overlay,
666,GIS spatial overlay analysis,Corridors,1,spatial overlay,
668,GIS-based multi-criteria decision analysis,Connectivity,1,spatial overlay,
669,GIS-based multi-criteria decision analysis,Corridors,1,spatial overlay,
808,Historical maps and satellite images analysis,Corridors,1,spatial overlay,
1293,QGIS (Intersection tool),Networks,1,spatial overlay,
1662,Spatial multiple buffer analysis tool,Corridors,1,spatial overlay,
1663,Spatial multiple buffer analysis tool,Networks,1,spatial overlay,
1721,The Gap Intercept Method,Connectivity,1,spatial overlay,
1772,Vector Based Landscape Analysis Tools Extension (vLATE) software,Corridors,1,spatial overlay,
145,"""Zone of influence” (ZOI)",Corridors,1,unclear,
148,A representation of ecosystem dynamics based on the coupling of typology with ENA indicators,Networks,1,unclear,
1847, Network theory analysis,Networks,1,unclear,
1848, Protected Area (PA) network,Connectivity,1,unclear,
1849, Protected Areas (PAs),Connectivity,1,unclear,
169,Aerial drones,Networks,1,unclear,
170,Age-composition by management analysis,Connectivity,1,unclear,
175,All analyses were performed using R v. 3.1,Corridors,1,unclear,
176,All analyses were run with R 4.2.1,Networks,1,unclear,
177,All statistics were computed in R,Corridors,1,unclear,
1801,analytic network process (ANP),Networks,1,unclear,
193,Annotation Analysis,Networks,1,unclear,
196,Arc GIS 10.1 software,Connectivity,1,unclear,
197,Arc GIS 10.1 software,Networks,1,unclear,
13,ArcGIS,Corridors,8,unclear,
18,ArcGIS,Connectivity,7,unclear,
25,ArcGIS,Networks,5,unclear,
211,ArcGIS (raster-to-polyline tool),Corridors,1,unclear,
212,ArcGIS (reclassiciation tool),Corridors,1,unclear,
213,ArcGIS (reclassification tool),Connectivity,1,unclear,
214,ArcGIS (reclassification tool),Corridors,1,unclear,
215,ArcGIS (reclassification tool),Networks,1,unclear,
64,ArcGIS 10.1,Corridors,2,unclear,
32,ArcGIS 10.2,Corridors,4,unclear,
65,ArcGIS 10.2,Connectivity,2,unclear,
228,ArcGIS 10.2 (feature-to-point tool),Corridors,1,unclear,
229,ArcGIS 10.2 (feature-to-point tool),Networks,1,unclear,
235,ArcGIS 10.2 (intersection tool),Corridors,1,unclear,
236,ArcGIS 10.2 (intersection tool),Networks,1,unclear,
237,ArcGIS 10.2 software,Connectivity,1,unclear,
238,ArcGIS 10.3,Corridors,1,unclear,
239,ArcGIS 10.3 (ArcToolbox module),Corridors,1,unclear,
241,ArcGIS 10.4,Connectivity,1,unclear,
242,ArcGIS 10.5,Connectivity,1,unclear,
243,ArcGIS 10.5.1,Connectivity,1,unclear,
244,ArcGIS 10.5.1,Networks,1,unclear,
245,ArcGIS 10.6.1,Corridors,1,unclear,
246,ArcGIS 10.7,Connectivity,1,unclear,
247,ArcGIS 10.8,Corridors,1,unclear,
248,ArcGIS 10.8,Networks,1,unclear,
249,ArcGIS 10.8 (3D analyst tool),Connectivity,1,unclear,
250,ArcGIS 10.8 (3D analyst tool),Corridors,1,unclear,
251,ArcGIS 10.8 (3D analyst tool),Networks,1,unclear,
256,ArcGIS 10.8 software,Connectivity,1,unclear,
257,ArcGIS 10.8 software,Corridors,1,unclear,
258,ArcGIS 10.8.1,Connectivity,1,unclear,
259,ArcGIS 10.8.1,Networks,1,unclear,
279,ArcGis 10.x (V-Late extension),Corridors,1,unclear,
260,ArcGIS 9.3,Corridors,1,unclear,
261,ArcGIS Desktop 10.6,Connectivity,1,unclear,
262,ArcGIS Editor toolbar (midpoint tool),Connectivity,1,unclear,
263,ArcGIS Editor toolbar (midpoint tool),Networks,1,unclear,
66,ArcGIS Pro,Connectivity,2,unclear,
264,ArcGIS Pro,Corridors,1,unclear,
265,ArcGIS Pro,Networks,1,unclear,
266,ArcGIS Pro (LDTtool),Connectivity,1,unclear,
267,ArcGIS Pro 3.0.1 (spatial join tool),Networks,1,unclear,
268,ArcGIS Pro 3.2.0,Connectivity,1,unclear,
269,ArcGIS Pro 3.2.1,Networks,1,unclear,
270,ArcGIS Pro v.3.1,Connectivity,1,unclear,
67,ArcGIS software,Corridors,2,unclear,
273,ArcGIS software,Networks,1,unclear,
275,ArcGIS software (raster calculator tool),Corridors,1,unclear,
280,ArcMap,Connectivity,1,unclear,
281,ArcMap,Networks,1,unclear,
68,ArcMap 10.0,Corridors,2,unclear,
69,ArcMap 10.1,Corridors,2,unclear,
285,ArcMap 10.2,Connectivity,1,unclear,
286,ArcMap 10.2,Networks,1,unclear,
287,ArcMap 10.5 (raster analyses),Connectivity,1,unclear,
288,ArcMap 10.8 (Spatial Analyst Tool),Connectivity,1,unclear,
289,ArcMap 10.8 (Spatial Analyst Tool),Networks,1,unclear,
292,ArcMap 10.8.1 software,Connectivity,1,unclear,
293,ArcMap 10.8.1 software,Corridors,1,unclear,
294,ArcMap 9.3,Corridors,1,unclear,
295,ArcMap version 10.8.2,Connectivity,1,unclear,
296,ArcMap10.5 software,Connectivity,1,unclear,
304,Artificial Reefs (ARs),Networks,1,unclear,
158,ATLAS.ti (v23.3),Networks,1,unclear,
309,Auto CAD,Networks,1,unclear,
310,Automatic tracking and segmentation of individual fish,Networks,1,unclear,
318,Bamboo stem fragments analysis,Connectivity,1,unclear,
337,Behavioral repeatability analysis,Networks,1,unclear,
338,Bigmap GIS Office software,Networks,1,unclear,
1802,bioacoustics,Networks,1,unclear,
350,BirdLife International IBA inventory,Corridors,1,unclear,
351,BirdLife Seabird Tracking Database (STDB),Connectivity,1,unclear,
353,Blue Green Infrastructure (BGI) Corridors,Connectivity,1,unclear,
354,Blue Green Infrastructure (BGI) networks,Connectivity,1,unclear,
359,Broad-scale decision support tool,Connectivity,1,unclear,
360,Broad-scale risk analysis,Networks,1,unclear,
361,Buffer strips (30 to 500 m),Corridors,1,unclear,
375,Capture-mark-recapture surveys,Connectivity,1,unclear,
376,Casal2,Connectivity,1,unclear,
377,Catch Per Unit Effort (CPUE),Connectivity,1,unclear,
363,CBAM_ISTA-Net,Networks,1,unclear,
379,Center of activity (COA),Networks,1,unclear,
408,Citizen science,Connectivity,1,unclear,
413,Co-created citizen science projects,Connectivity,1,unclear,
434,Conservation area network,Connectivity,1,unclear,
435,Conservation area network,Networks,1,unclear,
436,Conservation corridors,Corridors,1,unclear,
433,Conservation Gaps Analysis (CGA),Networks,1,unclear,
437,Conservation networks,Networks,1,unclear,
438,Conservation prioritization tools,Connectivity,1,unclear,
439,Conservation prioritization tools,Networks,1,unclear,
440,Conservation propagation,Networks,1,unclear,
441,Constructed floating wetlands,Connectivity,1,unclear,
442,Constructed wetlands (CW),Connectivity,1,unclear,
444,Contrib software package,Connectivity,1,unclear,
445,Contrib software package,Networks,1,unclear,
452,Coral structural connectivity analysis,Connectivity,1,unclear,
453,Coral structural connectivity analysis,Networks,1,unclear,
370,CORINE,Corridors,1,unclear,
459,Corridor design analysis,Corridors,1,unclear,
458,Corridor Designer Toolset (Arc Toolbox),Corridors,1,unclear,
467,Creating and restoring wetlands,Networks,1,unclear,
470,Criticality analyses,Networks,1,unclear,
471,Crop yield maps,Connectivity,1,unclear,
472,Cross-regional restoration,Connectivity,1,unclear,
473,Cross-scale centrality (CSC),Connectivity,1,unclear,
371,CUDA version 12.1,Networks,1,unclear,
475,Custom code in R to analyze seasonal patterns in movements of cisco,Networks,1,unclear,
474,Custom R scripts,Corridors,1,unclear,
484,Dam removal,Connectivity,1,unclear,
476,DArT's proprietary  software,Connectivity,1,unclear,
477,DArT's proprietary  software,Corridors,1,unclear,
485,"Data augmentation techniques, including random hue transformation, random contrast transformation, random translation, random rotation, random flip, and random multi-scale transformation.",Connectivity,1,unclear,
486,"Data augmentation techniques, including random hue transformation, random contrast transformation, random translation, random rotation, random flip, and random multi-scale transformation.",Networks,1,unclear,
487,Data validation,Corridors,1,unclear,
488,Dead wood potential (DWP),Connectivity,1,unclear,
489,Dead wood potential (DWP),Networks,1,unclear,
499,Diet analysis,Networks,1,unclear,
505,Distribution model predictions,Connectivity,1,unclear,
479,DNA analyses,Networks,1,unclear,
480,DNA analysis,Connectivity,1,unclear,
481,DNA metabarcoding,Networks,1,unclear,
508,Drone imagery,Networks,1,unclear,
509,"Drone planning software tools (DJI GS PRO, Pix4D or Litchi)",Networks,1,unclear,
1808,eBird Open Access platform,Networks,1,unclear,
1809,eButterfly,Networks,1,unclear,
526,Eco-engineering,Networks,1,unclear,
527,Eco-evolutionary drivers,Connectivity,1,unclear,
1810,eCognition developer 64 software,Networks,1,unclear,
535,Ecological assessment,Connectivity,1,unclear,
536,Ecological assessment,Networks,1,unclear,
537,Ecological behavioural analysis,Networks,1,unclear,
539,Ecological coherence assessment,Connectivity,1,unclear,
540,Ecological coherence assessment,Networks,1,unclear,
541,Ecological coherence tests,Connectivity,1,unclear,
542,Ecological coherence tests,Networks,1,unclear,
543,Ecological community analysis,Connectivity,1,unclear,
544,Ecological community analysis,Networks,1,unclear,
530,Ecological Compensation Calculation Method,Corridors,1,unclear,
545,Ecological corridors,Corridors,1,unclear,
531,Ecological Infrastructure (EI) network,Corridors,1,unclear,
547,Ecological multi-criteria analysis,Connectivity,1,unclear,
548,Ecological multi-criteria analysis,Networks,1,unclear,
81,Ecological Network (EN),Connectivity,2,unclear,
82,Ecological Network (EN),Corridors,2,unclear,
549,Ecological network (EN),Connectivity,1,unclear,
550,Ecological network (EN),Corridors,1,unclear,
551,Ecological network (EN) planning,Corridors,1,unclear,
83,Ecological network analysis,Networks,2,unclear,
84,Ecological network analysis (ENA),Networks,2,unclear,
532,Ecological Network Analysis (ENA),Networks,1,unclear,
552,Ecological network of wetlands,Networks,1,unclear,
533,Ecological Networks (EN),Connectivity,1,unclear,
553,Ecological networks (EN),Corridors,1,unclear,
554,Ecological networks (EN),Networks,1,unclear,
555,Ecological networks (ENs),Connectivity,1,unclear,
556,Ecological networks (ENs),Corridors,1,unclear,
575,Ecosystem restoration planning,Corridors,1,unclear,
572,Ecosystem Service (ES) evaluation,Corridors,1,unclear,
573,Ecosystem Service Valuation,Networks,1,unclear,
576,Ecosystem services (ES) approach,Connectivity,1,unclear,
528,Eco-track,Connectivity,1,unclear,
529,Eco-track,Networks,1,unclear,
582,Environmental impact assessments (EIAs),Connectivity,1,unclear,
583,Environmental impact assessments (EIAs),Corridors,1,unclear,
588,Esri ModelBuilder,Connectivity,1,unclear,
589,Esri ModelBuilder,Networks,1,unclear,
590,EstimateS 9.1.0,Corridors,1,unclear,
593,European Union for Bird Ringing (EURING) databank,Connectivity,1,unclear,
619,"Fish community metrics (total species richness, average total abundance, mean individual size, average total biomass, and average weighted trophic level)",Networks,1,unclear,
87,Food web analysis,Networks,2,unclear,
624,Food web typology,Networks,1,unclear,
627,Formulation of urban master plans,Corridors,1,unclear,
638,Free open-source software (FOSS),Connectivity,1,unclear,
639,Free open-source software (FOSS),Corridors,1,unclear,
640,Free open-source software (FOSS),Networks,1,unclear,
90,Genetic analysis,Connectivity,2,unclear,
717,Genetic data,Connectivity,1,unclear,
721,Geographic information system (GIS) based approach,Corridors,1,unclear,
724,Geostatistical analyses,Corridors,1,unclear,
725,Geostatistical modeling,Corridors,1,unclear,
661,GIS,Corridors,1,unclear,
662,GIS Decision Support Tools and Map Services,Networks,1,unclear,
663,GIS operations,Connectivity,1,unclear,
664,GIS operations,Networks,1,unclear,
665,GIS software,Corridors,1,unclear,
667,GIS-based analysis,Corridors,1,unclear,
728,GloBI API,Networks,1,unclear,
730,Google Earth,Corridors,1,unclear,
731,Google Earth Engine,Connectivity,1,unclear,
91,Google Earth Engine (GEE),Networks,2,unclear,
732,Google Earth Engine (GEE),Connectivity,1,unclear,
733,Google Earth Engine (GEE),Corridors,1,unclear,
673,GRASS toolset (v.clean),Connectivity,1,unclear,
674,GRASS toolset (v.clean),Corridors,1,unclear,
675,GRASS toolset (v.clean),Networks,1,unclear,
759,Grayscale tree cover density (TCD) map,Connectivity,1,unclear,
758,GraySpatCon,Connectivity,1,unclear,
760,Green Blue Infrastructure (GBI),Networks,1,unclear,
761,Green Infrastructure (FI),Networks,1,unclear,
43,Green Infrastructure (GI),Corridors,3,unclear,
92,Green infrastructure (GI),Corridors,2,unclear,
766,Green infrastructure (GI),Networks,1,unclear,
44,Green Infrastructure (GI) network,Corridors,3,unclear,
762,Green Infrastructure (GI) network,Networks,1,unclear,
763,Green Infrastructure Policy Assessment Tool (GIPAT),Networks,1,unclear,
764,Green Infrastructures (GIs),Corridors,1,unclear,
765,Green Infrastructures (GIs),Networks,1,unclear,
767,Green space factor (GSF),Networks,1,unclear,
787,Habit restoration,Corridors,1,unclear,
789,Habitat equivalency analysis (HEA),Networks,1,unclear,
790,Habitat networks,Connectivity,1,unclear,
791,Habitat networks,Networks,1,unclear,
792,Habitat restoration,Corridors,1,unclear,
794,Handheld lidar,Corridors,1,unclear,
807,High-resolution acoustic cameras,Corridors,1,unclear,
812,Hydraulic infrastructure,Corridors,1,unclear,
813,"IBM SPSS Statistics for Windows, version 26.0",Connectivity,1,unclear,
814,"IBM SPSS Statistics for Windows, version 26.0",Networks,1,unclear,
822,Image-based modelling technique,Connectivity,1,unclear,
823,ImageJ version 1.53a,Connectivity,1,unclear,
824,ImageNet,Networks,1,unclear,
825,Impact assessment,Networks,1,unclear,
826,Implementation Quilt,Networks,1,unclear,
827,Implementation/Acquisition Targeting,Networks,1,unclear,
828,Important Bird and Biodiversity Area (IBA) programme,Networks,1,unclear,
836,Indicator Species Analysis,Corridors,1,unclear,
848,Irrigation canals,Corridors,1,unclear,
854,Isotopic analysis,Networks,1,unclear,
819,IUCN Guidelines for Conserving Connectivity through Ecological Networks and Corridors,Connectivity,1,unclear,
820,IUCN Guidelines for Conserving Connectivity through Ecological Networks and Corridors,Corridors,1,unclear,
821,IUCN Guidelines for Conserving Connectivity through Ecological Networks and Corridors,Networks,1,unclear,
860,Julia language v. 1.5.3,Corridors,1,unclear,
861,Julia programming language,Connectivity,1,unclear,
862,Julia programming language,Networks,1,unclear,
888,Landscape ecology theory analysis,Corridors,1,unclear,
892,Landscape improvement policies and actions,Connectivity,1,unclear,
893,Landscape improvement policies and actions,Corridors,1,unclear,
894,Landscape improvement policies and actions,Networks,1,unclear,
895,Landscape indices analysis,Connectivity,1,unclear,
896,Landscape indices analysis,Corridors,1,unclear,
897,Landscape metric (LM) analysis,Corridors,1,unclear,
45,Landscape pattern analysis,Corridors,3,unclear,
900,Landscape pattern index analysis,Connectivity,1,unclear,
901,Landscape pattern index analysis,Corridors,1,unclear,
886,Landscape Planner’s Toolkit,Connectivity,1,unclear,
887,Landscape Planner’s Toolkit,Corridors,1,unclear,
902,Landscape shape analysis,Corridors,1,unclear,
903,Landscape value assessment,Corridors,1,unclear,
904,Landscape-scale Green Infranstructure (GI),Networks,1,unclear,
905,Larval dispersal,Connectivity,1,unclear,
873,LAStools software package (lasground tool),Corridors,1,unclear,
930,Linear corridors,Corridors,1,unclear,
961,Live fences,Corridors,1,unclear,
964,Local and indigenous ecological knowledge,Networks,1,unclear,
962,Local Forest Plan (LFP),Connectivity,1,unclear,
963,Local Forest Plan (LFP),Networks,1,unclear,
966,Long-term perspectives,Corridors,1,unclear,
995,Main agroecological structure (MAS),Corridors,1,unclear,
998,Management and planning of contact zones,Corridors,1,unclear,
996,Management Effectiveness Tracking Tool (METT),Connectivity,1,unclear,
997,Management Effectiveness Tracking Tool (METT),Networks,1,unclear,
1002,MapGIS software,Corridors,1,unclear,
1003,Marine Important Bird Areas (IBAs),Connectivity,1,unclear,
1004,Marine Megafauna Conservation Toolkit,Connectivity,1,unclear,
1005,Marine National Wildlife Areas,Networks,1,unclear,
1006,Marine Protected Area (MPA),Corridors,1,unclear,
1007,Marine Protected Area (MPA),Networks,1,unclear,
48,Marine Protected Area (MPA) network,Connectivity,3,unclear,
103,Marine Protected Area (MPA) network,Networks,2,unclear,
1008,Marine Protected Area (MPA) Network,Networks,1,unclear,
1009,Marine Protected Area (MPA) network,Corridors,1,unclear,
1015,Marine protected area (MPA) network,Networks,1,unclear,
1010,Marine Protected Area (MPA) networks,Connectivity,1,unclear,
1011,Marine Protected Area (MPA) networks,Corridors,1,unclear,
1013,Marine Protected area (MPA) networks,Networks,1,unclear,
1016,Marine protected area (MPA) networks,Networks,1,unclear,
19,Marine Protected Areas (MPAs),Networks,7,unclear,
28,Marine Protected Areas (MPAs),Connectivity,5,unclear,
104,Marine Protected Areas (MPAs),Corridors,2,unclear,
105,Marine protected areas (MPAs),Networks,2,unclear,
1017,Marine protected areas (MPAs),Connectivity,1,unclear,
1018,Marine protected areas (MPAs),Corridors,1,unclear,
1012,Marine Protected Areas (MPAs) network,Networks,1,unclear,
1019,Marine protected areas MPAs),Networks,1,unclear,
1020,Marine reserve networks,Connectivity,1,unclear,
1021,Marine spatial planning (MSP),Connectivity,1,unclear,
1022,Marine trophic networks,Networks,1,unclear,
1031,Matlab's symbolic toolkit (‘ode45’ adaptive solver),Networks,1,unclear,
976,MCR,Corridors,1,unclear,
1069,Migratory connectivity analysis,Connectivity,1,unclear,
1070,Migratory networks,Networks,1,unclear,
1071,Millennium Project,Connectivity,1,unclear,
1084,MobileNet network,Networks,1,unclear,
1088,Monitoring and ongoing management practices,Networks,1,unclear,
